net,length_um
net7,353.74
_182_,331.27
_183_,322.2
_195_,318.06
_193_,314.92
_217_,311.475
_197_,307
net14,304.36
net1,300.69
net2,296.28
_241_,294.18
_021_,294.13
_019_,293.225
net15,291.4
net4,290.24
_092_,288.44
_234_,282.36
net12,280.52
_189_,271.62
_176_,261.26
_218_,260.86
_052_,258.45
_203_,256.88
_190_,250.27
_103_,249.715
net19,245.28
net18,244.08
net3,244.02
_200_,237.08
_112_,236.29
_109_,235.42
_062_,233.7
_157_,233.26
_198_,228.365
net9,225.26
net17,225.26
_045_,224.98
net11,221.75
_168_,216.33
_100_,214.95
_238_,213.395
_046_,212.92
_095_,211.46
_038_,208.6
_009_,203.25
_135_,201.48
net8,198.77
_205_,197.42
_141_,196.4
_013_,195.91
_096_,195.22
_207_,193.58
_090_,192.49
_123_,190.22
net6,189.97
_196_,189.62
_031_,188.62
net5,188.5
_079_,184.805
_029_,181.68
net16,181.6
_074_,180.58
_088_,179.04
_036_,178.9
_110_,176.37
_025_,176.34
_220_,176.26
_181_,175.05
_097_,173.87
_133_,172.38
net10,172.08
_180_,169.98
_137_,167.46
_233_,167.28
_243_,165.85
_024_,165.1
_044_,164.52
net13,164.06
_166_,161.53
_119_,160.7
_224_,160.1
_035_,159.56
_099_,158.49
_227_,156.41
_111_,155.74
_010_,155.67
_091_,154.62
_080_,151.11
_114_,144.75
_237_,144.19
_194_,142.89
_093_,142.84
_041_,142.56
_162_,142.32
_002_,141.7
_077_,140.72
_122_,140.56
_070_,140.25
_075_,138.99
_089_,138.02
_152_,135.23
_206_,134.54
_034_,134.12
_147_,133.79
_117_,133.34
_051_,133.32
_208_,131.52
_212_,130.58
_242_,130.44
_232_,129.5
_223_,129.47
_170_,127.58
_148_,127.27
_003_,127
_007_,126.2
_067_,125.66
_084_,125.52
_027_,124.46
_055_,122.83
_149_,122.23
_028_,121.51
net43,121.2
net21,120.9
_142_,120.74
_136_,119.82
net37,118.9
_164_,118.84
_066_,117.86
_072_,116.76
_098_,116.76
_246_,115.78
_171_,115.54
_130_,115.41
net28,115.2
_143_,114.44
_004_,114.1
net22,113.96
_053_,113.59
_145_,113.1
_094_,113.06
_043_,112.92
net51,112.84
_106_,112.48
_022_,112.13
_049_,111.82
_199_,111.79
_221_,111.68
_012_,111.2
_153_,110.44
_204_,110.24
_132_,109.69
_209_,109.52
_230_,108.98
net42,107.28
_030_,106.62
_169_,106.51
_155_,105.72
_222_,105.25
_229_,104.78
_056_,104.6
_071_,103.6
_113_,101.89
_231_,100.88
_057_,100.68
_179_,100.595
_105_,100.39
_144_,99.92
_059_,98.08
net26,97.62
_081_,96.48
_245_,94.06
_064_,91.9
_161_,91.62
_107_,91.34
_102_,90.02
_244_,89.905
_125_,89.3
_108_,89.28
_240_,88.98
_023_,88.88
_000_,88.68
_226_,88.38
_005_,87.16
_184_,85.8
_037_,84.9
_163_,83.92
_167_,82.96
_032_,82.92
_069_,82.9
net35,82.29
_187_,81.22
_060_,80.74
_173_,79.42
net50,79.1
_236_,78.76
_211_,78.5
_120_,77.8
_118_,77.26
_177_,76.44
_116_,76.08
_016_,75.96
_085_,75.96
_172_,75.46
_048_,74.88
net25,74.34
_104_,74.16
_186_,73.2
_154_,72.46
_146_,71.88
_165_,71.8
net36,71.76
net49,71.74
_185_,71.41
_083_,71.36
_159_,70.76
_101_,70.4
_131_,69.5
_202_,69.38
_011_,69.32
_054_,68.56
_040_,68.2
_020_,67.42
_126_,67.4
_219_,67
_033_,66.88
_129_,66.42
net39,66.4
_042_,65.86
net41,65.12
_138_,64.42
net27,64.34
_140_,63.9
_134_,62.56
net33,62.38
_008_,62.2
net34,60.96
_151_,60.45
_158_,58.21
_139_,57.5
net32,57.3
_068_,56.88
_127_,56.86
_124_,56.44
_216_,53.08
net29,52.32
_215_,52.2
_058_,51.96
_247_,51.44
net23,51.36
_210_,50.62
_178_,49.48
_160_,49.4
net24,49.34
_191_,47.62
_214_,47.42
net52,47.02
_128_,45.84
_213_,45.36
_047_,44.58
_001_,44.38
_050_,44.26
_006_,43.36
_115_,42.24
_078_,40.4
net47,40.3
_015_,36.46
_174_,36.44
_225_,36.24
_017_,35.86
_039_,35.8
_188_,35.8
_175_,35.56
_150_,35.54
net40,35.32
_065_,35
_228_,34.61
_063_,32.84
_235_,32.84
_061_,32.34
_073_,30.52
_201_,29.88
_014_,28.52
net20,27.46
_192_,23.62
_076_,23.5
net31,22.5
_018_,21.72
net30,20.54
net46,19.4
_082_,18.68
_086_,17.92
_026_,17.52
_121_,16.9
net38,16.76
_156_,13.84
out[0],13.17
_087_,9.42
B[4],9.07
A[0],8.69
B[7],8.69
out[2],7.57
out[7],7.01
A[1],6.77
A[6],6.77
A[7],6.77
B[0],6.77
B[3],6.77
opcode[1],6.77
net45,6.76
out[5],6.55
A[2],6.31
A[3],6.31
A[5],6.31
B[1],6.31
B[5],6.31
B[6],6.31
opcode[2],6.31
out[3],6.21
out[4],6.21
out[6],6.21
_239_,5.26
A[4],5.07
out[1],4.85
B[2],4.73
opcode[0],4.27
net44,2.16
net48,2.04
