net,length_um
_091_,338.52
_090_,332.08
_180_,304.86
_115_,294.36
_175_,285.26
_064_,272.43
_179_,259.22
_181_,258.8
count\[3\],258.38
_140_,258.04
_067_,256.96
count\[1\],249.76
count\[2\],249.075
one_second_counter\[0\],225.54
count\[0\],224.88
one_second_counter\[22\],223.38
net1,222.95
one_second_counter\[1\],220.39
_078_,217.775
one_second_counter\[8\],210.295
one_second_counter\[16\],205.4
one_second_counter\[4\],204.23
one_second_counter\[13\],198.14
one_second_counter\[2\],194.09
_104_,189.7
one_second_counter\[12\],187.28
_082_,187.035
_065_,185.04
_083_,180.52
net7,178.26
one_second_counter\[25\],176.74
one_second_counter\[9\],175.57
_153_,175.21
_088_,172.71
count\[4\],172.15
one_second_counter\[19\],171.35
one_second_counter\[6\],168.6
one_second_counter\[10\],168.44
_068_,165.36
one_second_counter\[18\],162.56
_178_,158.76
one_second_counter\[23\],158.68
_159_,156.835
clknet_2_2__leaf_clk,156.22
_169_,152.1
one_second_counter\[14\],151.5
_142_,150.45
_076_,150.34
_084_,148.64
_020_,147.48
one_second_counter\[21\],145.6
one_second_counter\[5\],143.4
_176_,142.96
net3,142.58
_130_,142.04
_171_,142.01
_072_,140.94
one_second_counter\[17\],139.38
_029_,137.61
one_second_counter\[11\],137.22
_079_,134.84
_122_,134.84
_114_,132.84
_123_,131.86
one_second_counter\[24\],131.22
_134_,127.22
one_second_counter\[7\],126.12
_132_,125.8
_108_,124.68
clknet_2_3__leaf_clk,120.065
_034_,119.26
_161_,119.26
_139_,118.25
_028_,117.38
_057_,117.02
_170_,116.5
net6,116.22
_124_,112.08
_149_,111.16
_009_,109.005
_062_,107.14
net8,106.74
_035_,106.24
_113_,106.22
_017_,105.82
_045_,105.62
_066_,105.5
_165_,104.76
_060_,104.62
_164_,103.4
_071_,102.04
_119_,101.91
_004_,101.46
clknet_2_1__leaf_clk,100.68
_080_,100.04
_100_,98.46
_077_,96.52
_160_,96.5
one_second_counter\[3\],96.42
_126_,96.05
_043_,95.63
_069_,95.26
_111_,95.24
_003_,94.94
_151_,94.64
_118_,94.36
_053_,94.21
_146_,94.08
_074_,94.06
_092_,93.5
_141_,93.2
_013_,92.88
_094_,92.8
_172_,92.48
one_second_counter\[20\],91.02
_039_,90.15
_156_,90
_147_,89.88
clknet_0_clk,88.21
clknet_2_0__leaf_clk,88.1
_110_,87.86
_052_,87.52
_021_,87.5
_107_,87.2
_050_,84.99
_174_,84.28
net4,83.54
_150_,83.3
_154_,82.9
_037_,82.21
_101_,81.96
_012_,81.34
_152_,80.38
_093_,79.96
_011_,79.78
_177_,79.62
_135_,79.41
_129_,79.32
_099_,79.3
_097_,78.12
_002_,77.54
_116_,76.38
_081_,75.34
one_second_counter\[26\],75.16
_032_,74.93
_143_,74.68
_166_,73.68
net2,72.56
_025_,72.44
_075_,72.26
_016_,72.12
_106_,71.9
_167_,71.46
_096_,71.16
_157_,70.5
_112_,70.28
_005_,70.1
clk,69.94
_000_,69.8
_008_,67.6
_049_,66.77
_036_,66.28
_138_,65.8
_121_,65.04
_131_,64.42
_086_,64.3
_041_,62.7
_058_,62.66
net5,61.62
_027_,61.61
_059_,60.92
_133_,60.54
_010_,60.04
_056_,59.19
_042_,58.85
_120_,58.61
_019_,57.76
_063_,57.04
_168_,56.48
_125_,55.85
_173_,55.74
_109_,54.66
_024_,54.58
_044_,54.25
_038_,53.85
_163_,53.62
_055_,53.43
_087_,53.12
_144_,52.4
_098_,51.4
_001_,51.16
_105_,51.12
one_second_counter\[15\],50.8
_102_,48.9
_117_,48.28
_137_,47.94
_014_,47.465
_073_,43.68
_155_,43.66
_070_,42.84
_127_,42.18
_015_,42.09
_128_,42.04
_047_,41.01
_095_,41
_018_,40.76
_103_,40.16
_007_,39.58
_048_,39.2
_148_,37.04
_026_,35.3
_158_,33.68
_006_,33.44
_136_,32.44
_022_,29.705
_145_,29.32
_054_,28.63
_030_,27.18
_085_,27.18
_031_,24.35
_089_,23.16
_061_,21.78
_051_,20.26
_162_,14.98
_046_,13.42
_033_,13.26
_040_,12.35
rst,12.24
_023_,10.98
seg[0],9.49
seg[6],7.11
seg[5],6.67
seg[1],5.75
seg[3],5.75
seg[2],4.39
seg[4],4.39
