net,length_um
net1,55.04
net2,46.76
net5,45.2
_02_,41.46
net6,40.75
net3,39.46
net4,31.88
net16,31.71
net8,30.24
_04_,28.86
net10,27.56
net7,25.44
net11,23.84
_09_,21.96
net14,19.86
_06_,16.02
net15,15.64
_00_,15.22
_01_,13.62
_03_,12.96
in1[7],12.79
out1[0],11.89
in1[0],11.07
out1[7],10.61
_05_,10.12
net13,8.98
net12,8.94
out1[6],6.69
in1[1],6.33
in1[5],6.31
in1[3],5.97
_08_,5.8
out1[3],5.29
out1[5],5.29
in1[4],4.95
net9,4.88
in1[2],4.61
in1[6],4.61
out1[1],3.93
out1[2],3.93
out1[4],3.93
_07_,2.5
